year,state,population-density
2004,iowa,52.48778228775141
2004,minnesota,58.52262525129167
2004,missouri,82.45573363589504
2004,nebraska,22.61692994281286
2005,illinois,217.7366609368619
2005,indiana,172.396858280786
2005,iowa,52.68004210203827
2005,minnesota,58.88939002480335
2005,missouri,83.06627498906494
2005,nebraska,22.773715248046454
2006,illinois,218.3246407792304
2006,indiana,173.88103367559455
2006,iowa,53.00328879968852
2006,minnesota,59.39501584099444
2006,missouri,83.818050384904
2006,nebraska,22.918464013396115
2007,illinois,219.22099405061508
2007,indiana,175.16962730182001
2007,iowa,53.29771163018161
2007,minnesota,59.897087311411184
2007,missouri,84.46228993677678
2007,nebraska,23.057407830939233
2008,illinois,220.10458692309484
2008,indiana,176.41091117270804
2008,iowa,53.60908758599402
2008,minnesota,60.355068790394014
2008,missouri,84.9830985386114
2008,nebraska,23.22467824234455
2009,illinois,220.96345328511202
2009,indiana,177.35872628849066
2009,iowa,53.89583352955006
2009,minnesota,60.74828985931347
2009,missouri,85.51635926325322
2009,nebraska,23.435479297991762
2010,illinois,221.71918316179892
2010,indiana,178.21623276509456
2010,iowa,54.214797519441454
2010,minnesota,61.09027773703892
2010,missouri,86.01847533511345
2010,nebraska,23.654076308042853
2011,illinois,222.18950487407523
2011,indiana,178.94921820835236
2011,iowa,54.498291448392216
2011,minnesota,61.50076441439623
2011,missouri,86.23499594516991
2011,nebraska,23.800467007404606
2012,illinois,222.4527593283437
2012,indiana,179.54612289278697
2012,iowa,54.67727664568377
2012,minnesota,61.85596893708843
2012,missouri,86.44795880585289
2012,nebraska,23.965655911912698
2013,illinois,222.67289779334888
2013,indiana,180.413404339153
2013,iowa,54.980993485130746
2013,minnesota,62.28412381868328
2013,missouri,86.69129164808292
2013,nebraska,24.12237657407495
2014,illinois,222.48838138915676
2014,indiana,181.11204009934224
2014,iowa,55.27790419564973
2014,minnesota,62.720572173751606
2014,missouri,86.92284661839508
2014,nebraska,24.305213037059485
2015,illinois,222.04794905510022
2015,indiana,181.5355214438399
2015,iowa,55.4893384567076
2015,minnesota,63.081033447313956
2015,missouri,87.15640999561163
2015,nebraska,24.461700984164906
2016,illinois,221.39393976021154
2016,indiana,182.2619444776226
2016,iowa,55.678932685252434
2016,minnesota,63.55676364969426
2016,missouri,87.38555487763853
2016,nebraska,24.648183316373146
2017,illinois,220.6718980273183
2017,indiana,182.92559902579794
2017,iowa,55.86595018091331
2017,minnesota,64.0619983728228
2017,missouri,87.67244145816653
2017,nebraska,24.784127695405985
2018,illinois,219.71861507367447
2018,indiana,183.92541917733743
2018,iowa,55.97552352548238
2018,minnesota,64.51611493212867
2018,missouri,87.88194698982124
2018,nebraska,24.89420191728764
2019,illinois,218.72285501406836
2019,indiana,184.81859331046098
2019,iowa,56.14782698784724
2019,minnesota,64.87604707978286
2019,missouri,88.08980275866165
2019,nebraska,24.985465005408688
2020,illinois,220.85258113170406
2020,indiana,186.4135608485003
2020,iowa,56.70418804392388
2020,minnesota,65.68727761614515
2020,missouri,88.28994050668376
2020,nebraska,25.382399320678893
2021,illinois,219.12559323336248
